p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,1.000000e-03,7.130000e-01,4.120000e-01
6.608104e-04,6.608104e-04,0.000000e+00,9.590000e-01,5.100000e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.224000e+00,6.060000e-01
1.154225e-03,1.154225e-03,0.000000e+00,1.639000e+00,7.050000e-01
1.525448e-03,1.525448e-03,2.000000e-03,2.197000e+00,8.100000e-01
2.016064e-03,2.016064e-03,1.000000e-03,2.897000e+00,8.750000e-01
2.664471e-03,2.664471e-03,3.000000e-03,3.762000e+00,9.460000e-01
3.521421e-03,3.521421e-03,5.000000e-03,4.829000e+00,9.740000e-01
4.653982e-03,4.653982e-03,8.000000e-03,6.507000e+00,9.920000e-01
6.150800e-03,6.150800e-03,8.000000e-03,8.328000e+00,1.000000e+00
8.129024e-03,8.129024e-03,2.800000e-02,1.112200e+01,9.990000e-01
1.074349e-02,1.074349e-02,3.000000e-02,1.438400e+01,1.000000e+00
1.419882e-02,1.419882e-02,5.800000e-02,1.902900e+01,1.000000e+00
1.876545e-02,1.876545e-02,1.020000e-01,2.501900e+01,1.000000e+00
2.480081e-02,2.480081e-02,1.510000e-01,3.205100e+01,1.000000e+00
3.277726e-02,3.277726e-02,2.550000e-01,4.166100e+01,1.000000e+00
4.331910e-02,4.331910e-02,3.170000e-01,5.291700e+01,1.000000e+00
5.725143e-02,5.725143e-02,4.080000e-01,6.667300e+01,1.000000e+00
7.566467e-02,7.566467e-02,4.890000e-01,8.316700e+01,1.000000e+00
1.000000e-01,1.000000e-01,4.900000e-01,1.026190e+02,1.000000e+00
