p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,1.087980e+01,9.981000e-01
6.608104e-04,6.608104e-04,0.000000e+00,1.432950e+01,9.998000e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.887500e+01,1.000000e+00
1.154225e-03,1.154225e-03,0.000000e+00,2.485210e+01,1.000000e+00
1.525448e-03,1.525448e-03,0.000000e+00,3.272550e+01,1.000000e+00
2.016064e-03,2.016064e-03,0.000000e+00,4.321710e+01,1.000000e+00
2.664471e-03,2.664471e-03,0.000000e+00,5.665960e+01,1.000000e+00
3.521421e-03,3.521421e-03,0.000000e+00,7.445330e+01,1.000000e+00
4.653982e-03,4.653982e-03,0.000000e+00,9.766910e+01,1.000000e+00
6.150800e-03,6.150800e-03,1.000000e-04,1.278606e+02,1.000000e+00
8.129024e-03,8.129024e-03,6.000000e-04,1.665218e+02,1.000000e+00
1.074349e-02,1.074349e-02,2.900000e-03,2.162569e+02,1.000000e+00
1.419882e-02,1.419882e-02,7.800000e-03,2.791425e+02,1.000000e+00
1.876545e-02,1.876545e-02,1.970000e-02,3.570029e+02,1.000000e+00
2.480081e-02,2.480081e-02,5.260000e-02,4.529376e+02,1.000000e+00
3.277726e-02,3.277726e-02,1.363000e-01,5.700126e+02,1.000000e+00
4.331910e-02,4.331910e-02,2.847000e-01,7.069274e+02,1.000000e+00
5.725143e-02,5.725143e-02,4.496000e-01,8.647061e+02,1.000000e+00
7.566467e-02,7.566467e-02,4.907000e-01,1.040926e+03,1.000000e+00
1.000000e-01,1.000000e-01,5.010000e-01,1.231214e+03,1.000000e+00
