p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,6.801000e-01,3.992000e-01
6.608104e-04,6.608104e-04,3.000000e-04,9.282000e-01,4.993000e-01
8.733407e-04,8.733407e-04,4.000000e-04,1.212000e+00,5.939000e-01
1.154225e-03,1.154225e-03,4.000000e-04,1.618000e+00,6.977000e-01
1.525448e-03,1.525448e-03,8.000000e-04,2.151800e+00,7.958000e-01
2.016064e-03,2.016064e-03,1.800000e-03,2.823300e+00,8.807000e-01
2.664471e-03,2.664471e-03,3.000000e-03,3.735100e+00,9.394000e-01
3.521421e-03,3.521421e-03,5.400000e-03,4.907800e+00,9.769000e-01
4.653982e-03,4.653982e-03,1.010000e-02,6.440500e+00,9.917000e-01
6.150800e-03,6.150800e-03,1.780000e-02,8.523900e+00,9.982000e-01
8.129024e-03,8.129024e-03,2.860000e-02,1.112840e+01,9.999000e-01
1.074349e-02,1.074349e-02,4.420000e-02,1.459010e+01,9.999000e-01
1.419882e-02,1.419882e-02,8.130000e-02,1.909700e+01,9.999000e-01
1.876545e-02,1.876545e-02,1.269000e-01,2.478850e+01,1.000000e+00
2.480081e-02,2.480081e-02,2.025000e-01,3.208170e+01,1.000000e+00
3.277726e-02,3.277726e-02,2.877000e-01,4.135410e+01,1.000000e+00
4.331910e-02,4.331910e-02,3.855000e-01,5.275170e+01,1.000000e+00
5.725143e-02,5.725143e-02,4.544000e-01,6.685100e+01,1.000000e+00
7.566467e-02,7.566467e-02,4.921000e-01,8.357440e+01,1.000000e+00
1.000000e-01,1.000000e-01,4.982000e-01,1.024070e+02,1.000000e+00
