p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,1.956000e+00,7.280000e-01
6.608104e-04,0.000000e+00,0.000000e+00,2.574000e+00,8.150000e-01
8.733407e-04,0.000000e+00,0.000000e+00,3.397000e+00,8.970000e-01
1.154225e-03,0.000000e+00,2.000000e-03,4.395000e+00,9.480000e-01
1.525448e-03,0.000000e+00,0.000000e+00,5.687000e+00,9.880000e-01
2.016064e-03,0.000000e+00,0.000000e+00,7.583000e+00,9.930000e-01
2.664471e-03,0.000000e+00,1.000000e-03,1.015100e+01,9.980000e-01
3.521421e-03,0.000000e+00,1.000000e-03,1.325700e+01,9.990000e-01
4.653982e-03,0.000000e+00,3.000000e-03,1.723500e+01,1.000000e+00
6.150800e-03,0.000000e+00,4.000000e-03,2.251700e+01,1.000000e+00
8.129024e-03,0.000000e+00,1.400000e-02,2.908800e+01,1.000000e+00
1.074349e-02,0.000000e+00,2.800000e-02,3.773400e+01,1.000000e+00
1.419882e-02,0.000000e+00,8.400000e-02,4.897400e+01,1.000000e+00
1.876545e-02,0.000000e+00,1.210000e-01,6.228100e+01,1.000000e+00
2.480081e-02,0.000000e+00,2.470000e-01,7.814200e+01,1.000000e+00
3.277726e-02,0.000000e+00,3.960000e-01,9.767300e+01,1.000000e+00
4.331910e-02,0.000000e+00,4.980000e-01,1.191750e+02,1.000000e+00
5.725143e-02,0.000000e+00,4.880000e-01,1.433230e+02,1.000000e+00
7.566467e-02,0.000000e+00,5.060000e-01,1.670070e+02,1.000000e+00
1.000000e-01,0.000000e+00,5.210000e-01,1.908110e+02,1.000000e+00
