p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,1.173220e+01,9.981000e-01
0.000000e+00,6.608104e-04,0.000000e+00,1.552900e+01,9.997000e-01
0.000000e+00,8.733407e-04,0.000000e+00,2.047560e+01,1.000000e+00
0.000000e+00,1.154225e-03,0.000000e+00,2.701390e+01,1.000000e+00
0.000000e+00,1.525448e-03,0.000000e+00,3.559280e+01,1.000000e+00
0.000000e+00,2.016064e-03,0.000000e+00,4.715470e+01,1.000000e+00
0.000000e+00,2.664471e-03,0.000000e+00,6.205490e+01,1.000000e+00
0.000000e+00,3.521421e-03,0.000000e+00,8.193030e+01,1.000000e+00
0.000000e+00,4.653982e-03,0.000000e+00,1.079820e+02,1.000000e+00
0.000000e+00,6.150800e-03,0.000000e+00,1.421771e+02,1.000000e+00
0.000000e+00,8.129024e-03,0.000000e+00,1.869892e+02,1.000000e+00
0.000000e+00,1.074349e-02,6.000000e-04,2.451078e+02,1.000000e+00
0.000000e+00,1.419882e-02,1.400000e-03,3.208469e+02,1.000000e+00
0.000000e+00,1.876545e-02,6.000000e-03,4.184027e+02,1.000000e+00
0.000000e+00,2.480081e-02,2.490000e-02,5.439367e+02,1.000000e+00
0.000000e+00,3.277726e-02,8.150000e-02,7.027699e+02,1.000000e+00
0.000000e+00,4.331910e-02,2.304000e-01,9.012126e+02,1.000000e+00
0.000000e+00,5.725143e-02,4.325000e-01,1.144454e+03,1.000000e+00
0.000000e+00,7.566467e-02,4.944000e-01,1.434514e+03,1.000000e+00
0.000000e+00,1.000000e-01,4.977000e-01,1.769834e+03,1.000000e+00
