p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,3.760000e-02,2.760000e-02
6.608104e-04,6.608104e-04,0.000000e+00,4.940000e-02,3.590000e-02
8.733407e-04,8.733407e-04,1.000000e-04,6.200000e-02,4.490000e-02
1.154225e-03,1.154225e-03,1.000000e-04,8.620000e-02,6.220000e-02
1.525448e-03,1.525448e-03,2.000000e-04,1.085000e-01,7.930000e-02
2.016064e-03,2.016064e-03,3.000000e-04,1.441000e-01,1.026000e-01
2.664471e-03,2.664471e-03,1.000000e-04,1.918000e-01,1.339000e-01
3.521421e-03,3.521421e-03,5.000000e-04,2.563000e-01,1.792000e-01
4.653982e-03,4.653982e-03,1.100000e-03,3.392000e-01,2.283000e-01
6.150800e-03,6.150800e-03,1.800000e-03,4.339000e-01,2.856000e-01
8.129024e-03,8.129024e-03,3.700000e-03,5.514000e-01,3.455000e-01
1.074349e-02,1.074349e-02,5.200000e-03,7.353000e-01,4.368000e-01
1.419882e-02,1.419882e-02,9.800000e-03,9.608000e-01,5.270000e-01
1.876545e-02,1.876545e-02,1.820000e-02,1.264400e+00,6.402000e-01
2.480081e-02,2.480081e-02,2.930000e-02,1.618500e+00,7.336000e-01
3.277726e-02,3.277726e-02,5.160000e-02,2.109200e+00,8.340000e-01
4.331910e-02,4.331910e-02,8.020000e-02,2.662700e+00,9.010000e-01
5.725143e-02,5.725143e-02,1.323000e-01,3.337700e+00,9.495000e-01
7.566467e-02,7.566467e-02,1.975000e-01,4.191100e+00,9.786000e-01
1.000000e-01,1.000000e-01,2.715000e-01,5.056200e+00,9.936000e-01
