p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,1.997000e-01,1.198000e-01
6.608104e-04,6.608104e-04,0.000000e+00,2.663000e-01,1.519000e-01
8.733407e-04,8.733407e-04,0.000000e+00,3.486000e-01,1.957000e-01
1.154225e-03,1.154225e-03,0.000000e+00,4.595000e-01,2.519000e-01
1.525448e-03,1.525448e-03,1.000000e-04,6.119000e-01,3.142000e-01
2.016064e-03,2.016064e-03,0.000000e+00,8.134000e-01,4.002000e-01
2.664471e-03,2.664471e-03,0.000000e+00,1.051500e+00,4.904000e-01
3.521421e-03,3.521421e-03,6.000000e-04,1.377400e+00,5.857000e-01
4.653982e-03,4.653982e-03,1.000000e-03,1.817000e+00,6.909000e-01
6.150800e-03,6.150800e-03,8.000000e-04,2.379800e+00,7.810000e-01
8.129024e-03,8.129024e-03,2.700000e-03,3.105500e+00,8.641000e-01
1.074349e-02,1.074349e-02,7.200000e-03,4.097000e+00,9.338000e-01
1.419882e-02,1.419882e-02,1.410000e-02,5.198700e+00,9.685000e-01
1.876545e-02,1.876545e-02,3.000000e-02,6.755100e+00,9.913000e-01
2.480081e-02,2.480081e-02,5.410000e-02,8.559000e+00,9.979000e-01
3.277726e-02,3.277726e-02,1.125000e-01,1.090090e+01,9.994000e-01
4.331910e-02,4.331910e-02,1.891000e-01,1.363500e+01,1.000000e+00
5.725143e-02,5.725143e-02,2.943000e-01,1.684480e+01,1.000000e+00
7.566467e-02,7.566467e-02,3.921000e-01,2.050020e+01,1.000000e+00
1.000000e-01,1.000000e-01,4.678000e-01,2.427530e+01,1.000000e+00
