p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,5.823000e-01,2.909000e-01
6.608104e-04,6.608104e-04,0.000000e+00,7.737000e-01,3.643000e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.006900e+00,4.493000e-01
1.154225e-03,1.154225e-03,0.000000e+00,1.342600e+00,5.400000e-01
1.525448e-03,1.525448e-03,0.000000e+00,1.780800e+00,6.438000e-01
2.016064e-03,2.016064e-03,0.000000e+00,2.342300e+00,7.470000e-01
2.664471e-03,2.664471e-03,0.000000e+00,3.066200e+00,8.447000e-01
3.521421e-03,3.521421e-03,0.000000e+00,4.069800e+00,9.135000e-01
4.653982e-03,4.653982e-03,0.000000e+00,5.289100e+00,9.558000e-01
6.150800e-03,6.150800e-03,5.000000e-04,6.860700e+00,9.835000e-01
8.129024e-03,8.129024e-03,1.300000e-03,8.916100e+00,9.955000e-01
1.074349e-02,1.074349e-02,4.800000e-03,1.164480e+01,9.995000e-01
1.419882e-02,1.419882e-02,1.250000e-02,1.497700e+01,1.000000e+00
1.876545e-02,1.876545e-02,3.230000e-02,1.915570e+01,1.000000e+00
2.480081e-02,2.480081e-02,8.210000e-02,2.435830e+01,1.000000e+00
3.277726e-02,3.277726e-02,1.635000e-01,3.041550e+01,1.000000e+00
4.331910e-02,4.331910e-02,2.910000e-01,3.764700e+01,1.000000e+00
5.725143e-02,5.725143e-02,4.107000e-01,4.600710e+01,1.000000e+00
7.566467e-02,7.566467e-02,4.779000e-01,5.512750e+01,1.000000e+00
1.000000e-01,1.000000e-01,5.057000e-01,6.485480e+01,1.000000e+00
