p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,1.760000e-02,1.260000e-02
6.608104e-04,0.000000e+00,0.000000e+00,2.290000e-02,1.710000e-02
8.733407e-04,0.000000e+00,1.000000e-04,2.850000e-02,2.090000e-02
1.154225e-03,0.000000e+00,1.000000e-04,4.020000e-02,2.970000e-02
1.525448e-03,0.000000e+00,0.000000e+00,5.360000e-02,4.010000e-02
2.016064e-03,0.000000e+00,3.000000e-04,7.220000e-02,5.210000e-02
2.664471e-03,0.000000e+00,1.100000e-03,9.370000e-02,6.960000e-02
3.521421e-03,0.000000e+00,8.000000e-04,1.269000e-01,9.330000e-02
4.653982e-03,0.000000e+00,2.500000e-03,1.652000e-01,1.197000e-01
6.150800e-03,0.000000e+00,3.200000e-03,2.124000e-01,1.505000e-01
8.129024e-03,0.000000e+00,3.500000e-03,2.769000e-01,1.921000e-01
1.074349e-02,0.000000e+00,9.600000e-03,3.613000e-01,2.482000e-01
1.419882e-02,0.000000e+00,1.500000e-02,4.633000e-01,3.076000e-01
1.876545e-02,0.000000e+00,2.490000e-02,6.138000e-01,3.939000e-01
2.480081e-02,0.000000e+00,4.050000e-02,7.691000e-01,4.765000e-01
3.277726e-02,0.000000e+00,6.970000e-02,1.004200e+00,5.836000e-01
4.331910e-02,0.000000e+00,1.070000e-01,1.263500e+00,6.766000e-01
5.725143e-02,0.000000e+00,1.667000e-01,1.548100e+00,7.689000e-01
7.566467e-02,0.000000e+00,2.408000e-01,1.869400e+00,8.462000e-01
1.000000e-01,0.000000e+00,3.315000e-01,2.235500e+00,9.108000e-01
