p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,2.913000e-01,1.573000e-01
6.608104e-04,0.000000e+00,0.000000e+00,3.937000e-01,2.062000e-01
8.733407e-04,0.000000e+00,0.000000e+00,5.097000e-01,2.558000e-01
1.154225e-03,0.000000e+00,0.000000e+00,6.704000e-01,3.288000e-01
1.525448e-03,0.000000e+00,0.000000e+00,8.840000e-01,4.110000e-01
2.016064e-03,0.000000e+00,0.000000e+00,1.167700e+00,4.973000e-01
2.664471e-03,0.000000e+00,0.000000e+00,1.499700e+00,5.967000e-01
3.521421e-03,0.000000e+00,1.000000e-04,1.983500e+00,7.015000e-01
4.653982e-03,0.000000e+00,2.000000e-04,2.598900e+00,7.976000e-01
6.150800e-03,0.000000e+00,4.000000e-04,3.336800e+00,8.707000e-01
8.129024e-03,0.000000e+00,1.200000e-03,4.312000e+00,9.368000e-01
1.074349e-02,0.000000e+00,4.500000e-03,5.477400e+00,9.729000e-01
1.419882e-02,0.000000e+00,1.180000e-02,6.918500e+00,9.911000e-01
1.876545e-02,0.000000e+00,3.630000e-02,8.676600e+00,9.986000e-01
2.480081e-02,0.000000e+00,7.710000e-02,1.069820e+01,9.994000e-01
3.277726e-02,0.000000e+00,1.594000e-01,1.285240e+01,1.000000e+00
4.331910e-02,0.000000e+00,2.777000e-01,1.498480e+01,1.000000e+00
5.725143e-02,0.000000e+00,4.024000e-01,1.714760e+01,1.000000e+00
7.566467e-02,0.000000e+00,4.774000e-01,1.885880e+01,1.000000e+00
1.000000e-01,0.000000e+00,5.025000e-01,2.006440e+01,1.000000e+00
