p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,1.001000e-01,6.080000e-02
0.000000e+00,6.608104e-04,0.000000e+00,1.314000e-01,7.930000e-02
0.000000e+00,8.733407e-04,0.000000e+00,1.759000e-01,1.043000e-01
0.000000e+00,1.154225e-03,0.000000e+00,2.327000e-01,1.362000e-01
0.000000e+00,1.525448e-03,0.000000e+00,3.101000e-01,1.754000e-01
0.000000e+00,2.016064e-03,0.000000e+00,4.056000e-01,2.250000e-01
0.000000e+00,2.664471e-03,0.000000e+00,5.324000e-01,2.837000e-01
0.000000e+00,3.521421e-03,1.000000e-04,6.917000e-01,3.549000e-01
0.000000e+00,4.653982e-03,2.000000e-04,9.263000e-01,4.448000e-01
0.000000e+00,6.150800e-03,3.000000e-04,1.210200e+00,5.367000e-01
0.000000e+00,8.129024e-03,5.000000e-04,1.586300e+00,6.368000e-01
0.000000e+00,1.074349e-02,1.100000e-03,2.126900e+00,7.453000e-01
0.000000e+00,1.419882e-02,3.900000e-03,2.761100e+00,8.386000e-01
0.000000e+00,1.876545e-02,8.500000e-03,3.565500e+00,9.053000e-01
0.000000e+00,2.480081e-02,1.780000e-02,4.637500e+00,9.540000e-01
0.000000e+00,3.277726e-02,4.020000e-02,6.002700e+00,9.832000e-01
0.000000e+00,4.331910e-02,7.880000e-02,7.726900e+00,9.966000e-01
0.000000e+00,5.725143e-02,1.475000e-01,9.844800e+00,9.992000e-01
0.000000e+00,7.566467e-02,2.647000e-01,1.245860e+01,1.000000e+00
0.000000e+00,1.000000e-01,3.872000e-01,1.536000e+01,1.000000e+00
