p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,6.425000e-01,3.055000e-01
0.000000e+00,6.608104e-04,0.000000e+00,8.550000e-01,3.798000e-01
0.000000e+00,8.733407e-04,0.000000e+00,1.124900e+00,4.698000e-01
0.000000e+00,1.154225e-03,0.000000e+00,1.491200e+00,5.673000e-01
0.000000e+00,1.525448e-03,0.000000e+00,1.973300e+00,6.746000e-01
0.000000e+00,2.016064e-03,0.000000e+00,2.614700e+00,7.703000e-01
0.000000e+00,2.664471e-03,0.000000e+00,3.437700e+00,8.568000e-01
0.000000e+00,3.521421e-03,0.000000e+00,4.540800e+00,9.229000e-01
0.000000e+00,4.653982e-03,0.000000e+00,5.988300e+00,9.667000e-01
0.000000e+00,6.150800e-03,0.000000e+00,7.833800e+00,9.887000e-01
0.000000e+00,8.129024e-03,0.000000e+00,1.030530e+01,9.974000e-01
0.000000e+00,1.074349e-02,0.000000e+00,1.351460e+01,9.998000e-01
0.000000e+00,1.419882e-02,2.000000e-04,1.776060e+01,1.000000e+00
0.000000e+00,1.876545e-02,1.100000e-03,2.301630e+01,1.000000e+00
0.000000e+00,2.480081e-02,6.000000e-03,2.988520e+01,1.000000e+00
0.000000e+00,3.277726e-02,1.780000e-02,3.877400e+01,1.000000e+00
0.000000e+00,4.331910e-02,4.920000e-02,4.968110e+01,1.000000e+00
0.000000e+00,5.725143e-02,1.428000e-01,6.313880e+01,1.000000e+00
0.000000e+00,7.566467e-02,3.172000e-01,7.932500e+01,1.000000e+00
0.000000e+00,1.000000e-01,4.750000e-01,9.783820e+01,1.000000e+00
