p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,3.910000e-02,2.770000e-02
6.608104e-04,6.608104e-04,1.000000e-04,5.000000e-02,3.560000e-02
8.733407e-04,8.733407e-04,4.000000e-04,6.050000e-02,4.490000e-02
1.154225e-03,1.154225e-03,1.000000e-04,8.540000e-02,6.280000e-02
1.525448e-03,1.525448e-03,0.000000e+00,1.104000e-01,7.940000e-02
2.016064e-03,2.016064e-03,4.000000e-04,1.415000e-01,1.014000e-01
2.664471e-03,2.664471e-03,1.200000e-03,1.880000e-01,1.358000e-01
3.521421e-03,3.521421e-03,1.300000e-03,2.572000e-01,1.781000e-01
4.653982e-03,4.653982e-03,2.100000e-03,3.450000e-01,2.316000e-01
6.150800e-03,6.150800e-03,3.000000e-03,4.352000e-01,2.821000e-01
8.129024e-03,8.129024e-03,4.200000e-03,5.605000e-01,3.525000e-01
1.074349e-02,1.074349e-02,9.600000e-03,7.367000e-01,4.293000e-01
1.419882e-02,1.419882e-02,1.610000e-02,9.706000e-01,5.368000e-01
1.876545e-02,1.876545e-02,2.600000e-02,1.266700e+00,6.393000e-01
2.480081e-02,2.480081e-02,4.250000e-02,1.601200e+00,7.299000e-01
3.277726e-02,3.277726e-02,6.480000e-02,2.099400e+00,8.321000e-01
4.331910e-02,4.331910e-02,1.100000e-01,2.676100e+00,8.996000e-01
5.725143e-02,5.725143e-02,1.652000e-01,3.355000e+00,9.517000e-01
7.566467e-02,7.566467e-02,2.400000e-01,4.143300e+00,9.813000e-01
1.000000e-01,1.000000e-01,3.305000e-01,5.023700e+00,9.943000e-01
