p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,1.007000e-01,6.120000e-02
6.608104e-04,0.000000e+00,0.000000e+00,1.323000e-01,7.960000e-02
8.733407e-04,0.000000e+00,0.000000e+00,1.703000e-01,1.011000e-01
1.154225e-03,0.000000e+00,0.000000e+00,2.277000e-01,1.341000e-01
1.525448e-03,0.000000e+00,0.000000e+00,3.074000e-01,1.770000e-01
2.016064e-03,0.000000e+00,2.000000e-04,4.182000e-01,2.331000e-01
2.664471e-03,0.000000e+00,4.000000e-04,5.310000e-01,2.848000e-01
3.521421e-03,0.000000e+00,4.000000e-04,6.824000e-01,3.535000e-01
4.653982e-03,0.000000e+00,8.000000e-04,9.083000e-01,4.455000e-01
6.150800e-03,0.000000e+00,1.400000e-03,1.151700e+00,5.315000e-01
8.129024e-03,0.000000e+00,3.400000e-03,1.494600e+00,6.275000e-01
1.074349e-02,0.000000e+00,5.700000e-03,1.961900e+00,7.326000e-01
1.419882e-02,0.000000e+00,1.460000e-02,2.492200e+00,8.219000e-01
1.876545e-02,0.000000e+00,2.760000e-02,3.191800e+00,8.960000e-01
2.480081e-02,0.000000e+00,5.700000e-02,3.972600e+00,9.408000e-01
3.277726e-02,0.000000e+00,1.114000e-01,4.933100e+00,9.791000e-01
4.331910e-02,0.000000e+00,1.886000e-01,5.974100e+00,9.936000e-01
5.725143e-02,0.000000e+00,2.950000e-01,7.023800e+00,9.977000e-01
7.566467e-02,0.000000e+00,4.056000e-01,8.090000e+00,9.996000e-01
1.000000e-01,0.000000e+00,4.682000e-01,8.929000e+00,1.000000e+00
