p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,1.730000e-02,1.270000e-02
0.000000e+00,6.608104e-04,0.000000e+00,2.290000e-02,1.700000e-02
0.000000e+00,8.733407e-04,1.000000e-04,3.040000e-02,2.290000e-02
0.000000e+00,1.154225e-03,0.000000e+00,4.330000e-02,3.180000e-02
0.000000e+00,1.525448e-03,2.000000e-04,5.210000e-02,3.970000e-02
0.000000e+00,2.016064e-03,5.000000e-04,7.270000e-02,5.370000e-02
0.000000e+00,2.664471e-03,7.000000e-04,9.310000e-02,6.770000e-02
0.000000e+00,3.521421e-03,6.000000e-04,1.274000e-01,9.230000e-02
0.000000e+00,4.653982e-03,1.100000e-03,1.685000e-01,1.221000e-01
0.000000e+00,6.150800e-03,1.600000e-03,2.244000e-01,1.561000e-01
0.000000e+00,8.129024e-03,3.600000e-03,2.948000e-01,2.040000e-01
0.000000e+00,1.074349e-02,6.400000e-03,3.899000e-01,2.606000e-01
0.000000e+00,1.419882e-02,1.030000e-02,4.923000e-01,3.168000e-01
0.000000e+00,1.876545e-02,1.940000e-02,6.447000e-01,4.002000e-01
0.000000e+00,2.480081e-02,2.760000e-02,8.350000e-01,4.875000e-01
0.000000e+00,3.277726e-02,4.660000e-02,1.088100e+00,5.910000e-01
0.000000e+00,4.331910e-02,7.920000e-02,1.433300e+00,6.935000e-01
0.000000e+00,5.725143e-02,1.290000e-01,1.788300e+00,7.902000e-01
0.000000e+00,7.566467e-02,1.904000e-01,2.273300e+00,8.748000e-01
0.000000e+00,1.000000e-01,2.798000e-01,2.841400e+00,9.360000e-01
