p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,2.000000e-04,1.114400e+00,5.149000e-01
6.608104e-04,6.608104e-04,3.000000e-04,1.476800e+00,6.158000e-01
8.733407e-04,8.733407e-04,4.000000e-04,1.975200e+00,7.234000e-01
1.154225e-03,1.154225e-03,6.000000e-04,2.607300e+00,8.176000e-01
1.525448e-03,1.525448e-03,5.000000e-04,3.426000e+00,8.945000e-01
2.016064e-03,2.016064e-03,1.000000e-03,4.523700e+00,9.497000e-01
2.664471e-03,2.664471e-03,1.700000e-03,5.962300e+00,9.798000e-01
3.521421e-03,3.521421e-03,4.100000e-03,7.871500e+00,9.958000e-01
4.653982e-03,4.653982e-03,6.400000e-03,1.036690e+01,9.989000e-01
6.150800e-03,6.150800e-03,1.290000e-02,1.362280e+01,9.999000e-01
8.129024e-03,8.129024e-03,2.270000e-02,1.790980e+01,1.000000e+00
1.074349e-02,1.074349e-02,4.190000e-02,2.358080e+01,1.000000e+00
1.419882e-02,1.419882e-02,6.730000e-02,3.080220e+01,1.000000e+00
1.876545e-02,1.876545e-02,1.124000e-01,4.023470e+01,1.000000e+00
2.480081e-02,2.480081e-02,1.754000e-01,5.253040e+01,1.000000e+00
3.277726e-02,3.277726e-02,2.569000e-01,6.833140e+01,1.000000e+00
4.331910e-02,4.331910e-02,3.568000e-01,8.809870e+01,1.000000e+00
5.725143e-02,5.725143e-02,4.299000e-01,1.123600e+02,1.000000e+00
7.566467e-02,7.566467e-02,4.808000e-01,1.426316e+02,1.000000e+00
1.000000e-01,1.000000e-01,4.900000e-01,1.777226e+02,1.000000e+00
