p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,3.352600e+00,8.554000e-01
6.608104e-04,0.000000e+00,0.000000e+00,4.417300e+00,9.234000e-01
8.733407e-04,0.000000e+00,0.000000e+00,5.827100e+00,9.664000e-01
1.154225e-03,0.000000e+00,0.000000e+00,7.687800e+00,9.870000e-01
1.525448e-03,0.000000e+00,0.000000e+00,1.015590e+01,9.974000e-01
2.016064e-03,0.000000e+00,1.000000e-04,1.342240e+01,9.997000e-01
2.664471e-03,0.000000e+00,1.000000e-04,1.772150e+01,1.000000e+00
3.521421e-03,0.000000e+00,1.000000e-04,2.339210e+01,1.000000e+00
4.653982e-03,0.000000e+00,7.000000e-04,3.079890e+01,1.000000e+00
6.150800e-03,0.000000e+00,1.400000e-03,4.042330e+01,1.000000e+00
8.129024e-03,0.000000e+00,2.900000e-03,5.320310e+01,1.000000e+00
1.074349e-02,0.000000e+00,6.300000e-03,6.995690e+01,1.000000e+00
1.419882e-02,0.000000e+00,1.670000e-02,9.156280e+01,1.000000e+00
1.876545e-02,0.000000e+00,3.860000e-02,1.194836e+02,1.000000e+00
2.480081e-02,0.000000e+00,8.410000e-02,1.557477e+02,1.000000e+00
3.277726e-02,0.000000e+00,1.610000e-01,2.014269e+02,1.000000e+00
4.331910e-02,0.000000e+00,2.961000e-01,2.591039e+02,1.000000e+00
5.725143e-02,0.000000e+00,4.346000e-01,3.300428e+02,1.000000e+00
7.566467e-02,0.000000e+00,4.864000e-01,4.159886e+02,1.000000e+00
1.000000e-01,0.000000e+00,5.021000e-01,5.159036e+02,1.000000e+00
