p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,3.000000e-04,5.393000e-01,2.864000e-01
0.000000e+00,6.608104e-04,0.000000e+00,7.148000e-01,3.601000e-01
0.000000e+00,8.733407e-04,1.000000e-04,9.379000e-01,4.485000e-01
0.000000e+00,1.154225e-03,5.000000e-04,1.244100e+00,5.495000e-01
0.000000e+00,1.525448e-03,9.000000e-04,1.625400e+00,6.472000e-01
0.000000e+00,2.016064e-03,1.600000e-03,2.173300e+00,7.582000e-01
0.000000e+00,2.664471e-03,2.600000e-03,2.871500e+00,8.372000e-01
0.000000e+00,3.521421e-03,4.200000e-03,3.784100e+00,9.153000e-01
0.000000e+00,4.653982e-03,6.500000e-03,4.977800e+00,9.577000e-01
0.000000e+00,6.150800e-03,1.540000e-02,6.540500e+00,9.851000e-01
0.000000e+00,8.129024e-03,2.280000e-02,8.614100e+00,9.964000e-01
0.000000e+00,1.074349e-02,3.950000e-02,1.135380e+01,9.993000e-01
0.000000e+00,1.419882e-02,7.070000e-02,1.487030e+01,9.998000e-01
0.000000e+00,1.876545e-02,1.099000e-01,1.931290e+01,1.000000e+00
0.000000e+00,2.480081e-02,1.699000e-01,2.512140e+01,1.000000e+00
0.000000e+00,3.277726e-02,2.530000e-01,3.270260e+01,1.000000e+00
0.000000e+00,4.331910e-02,3.530000e-01,4.201830e+01,1.000000e+00
0.000000e+00,5.725143e-02,4.416000e-01,5.357690e+01,1.000000e+00
0.000000e+00,7.566467e-02,4.833000e-01,6.788900e+01,1.000000e+00
0.000000e+00,1.000000e-01,4.981000e-01,8.428630e+01,1.000000e+00
