p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,1.089400e+00,4.475000e-01
6.608104e-04,6.608104e-04,0.000000e+00,1.436200e+00,5.395000e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.906900e+00,6.493000e-01
1.154225e-03,1.154225e-03,0.000000e+00,2.522000e+00,7.522000e-01
1.525448e-03,1.525448e-03,0.000000e+00,3.335200e+00,8.426000e-01
2.016064e-03,2.016064e-03,0.000000e+00,4.369700e+00,9.137000e-01
2.664471e-03,2.664471e-03,0.000000e+00,5.763100e+00,9.579000e-01
3.521421e-03,3.521421e-03,0.000000e+00,7.626400e+00,9.871000e-01
4.653982e-03,4.653982e-03,0.000000e+00,1.005140e+01,9.969000e-01
6.150800e-03,6.150800e-03,0.000000e+00,1.322530e+01,9.992000e-01
8.129024e-03,8.129024e-03,0.000000e+00,1.734890e+01,1.000000e+00
1.074349e-02,1.074349e-02,2.000000e-04,2.289750e+01,1.000000e+00
1.419882e-02,1.419882e-02,8.000000e-04,2.985430e+01,1.000000e+00
1.876545e-02,1.876545e-02,1.700000e-03,3.887480e+01,1.000000e+00
2.480081e-02,2.480081e-02,6.100000e-03,5.052050e+01,1.000000e+00
3.277726e-02,3.277726e-02,1.840000e-02,6.549410e+01,1.000000e+00
4.331910e-02,4.331910e-02,5.500000e-02,8.393380e+01,1.000000e+00
5.725143e-02,5.725143e-02,1.379000e-01,1.064199e+02,1.000000e+00
7.566467e-02,7.566467e-02,3.003000e-01,1.339769e+02,1.000000e+00
1.000000e-01,1.000000e-01,4.422000e-01,1.649962e+02,1.000000e+00
