p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,1.085700e+00,4.475000e-01
6.608104e-04,6.608104e-04,0.000000e+00,1.434400e+00,5.395000e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.905900e+00,6.493000e-01
1.154225e-03,1.154225e-03,0.000000e+00,2.518300e+00,7.522000e-01
1.525448e-03,1.525448e-03,0.000000e+00,3.331100e+00,8.426000e-01
2.016064e-03,2.016064e-03,0.000000e+00,4.376300e+00,9.137000e-01
2.664471e-03,2.664471e-03,0.000000e+00,5.760700e+00,9.579000e-01
3.521421e-03,3.521421e-03,0.000000e+00,7.619000e+00,9.871000e-01
4.653982e-03,4.653982e-03,0.000000e+00,1.005790e+01,9.969000e-01
6.150800e-03,6.150800e-03,0.000000e+00,1.321780e+01,9.992000e-01
8.129024e-03,8.129024e-03,0.000000e+00,1.735340e+01,1.000000e+00
1.074349e-02,1.074349e-02,5.000000e-04,2.290040e+01,1.000000e+00
1.419882e-02,1.419882e-02,8.000000e-04,2.986620e+01,1.000000e+00
1.876545e-02,1.876545e-02,2.200000e-03,3.887480e+01,1.000000e+00
2.480081e-02,2.480081e-02,6.200000e-03,5.052240e+01,1.000000e+00
3.277726e-02,3.277726e-02,2.130000e-02,6.549870e+01,1.000000e+00
4.331910e-02,4.331910e-02,5.230000e-02,8.391440e+01,1.000000e+00
5.725143e-02,5.725143e-02,1.395000e-01,1.064142e+02,1.000000e+00
7.566467e-02,7.566467e-02,2.989000e-01,1.339167e+02,1.000000e+00
1.000000e-01,1.000000e-01,4.485000e-01,1.649271e+02,1.000000e+00
