p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,5.462000e-01,2.572000e-01
6.608104e-04,0.000000e+00,0.000000e+00,7.244000e-01,3.231000e-01
8.733407e-04,0.000000e+00,0.000000e+00,9.479000e-01,4.036000e-01
1.154225e-03,0.000000e+00,0.000000e+00,1.254200e+00,5.011000e-01
1.525448e-03,0.000000e+00,0.000000e+00,1.642200e+00,5.954000e-01
2.016064e-03,0.000000e+00,0.000000e+00,2.206200e+00,7.079000e-01
2.664471e-03,0.000000e+00,0.000000e+00,2.904400e+00,7.975000e-01
3.521421e-03,0.000000e+00,0.000000e+00,3.831700e+00,8.840000e-01
4.653982e-03,0.000000e+00,0.000000e+00,5.040500e+00,9.355000e-01
6.150800e-03,0.000000e+00,0.000000e+00,6.619500e+00,9.757000e-01
8.129024e-03,0.000000e+00,0.000000e+00,8.691400e+00,9.914000e-01
1.074349e-02,0.000000e+00,0.000000e+00,1.144180e+01,9.983000e-01
1.419882e-02,0.000000e+00,8.000000e-04,1.497330e+01,9.997000e-01
1.876545e-02,0.000000e+00,1.500000e-03,1.942890e+01,9.999000e-01
2.480081e-02,0.000000e+00,5.900000e-03,2.526200e+01,1.000000e+00
3.277726e-02,0.000000e+00,2.070000e-02,3.276320e+01,1.000000e+00
4.331910e-02,0.000000e+00,5.310000e-02,4.195190e+01,1.000000e+00
5.725143e-02,0.000000e+00,1.411000e-01,5.324880e+01,1.000000e+00
7.566467e-02,0.000000e+00,3.071000e-01,6.689410e+01,1.000000e+00
1.000000e-01,0.000000e+00,4.396000e-01,8.252170e+01,1.000000e+00
