p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,2.990000e-02,1.980000e-02
0.000000e+00,6.608104e-04,0.000000e+00,4.140000e-02,2.660000e-02
0.000000e+00,8.733407e-04,1.000000e-04,5.140000e-02,3.380000e-02
0.000000e+00,1.154225e-03,0.000000e+00,6.890000e-02,4.400000e-02
0.000000e+00,1.525448e-03,0.000000e+00,9.520000e-02,5.860000e-02
0.000000e+00,2.016064e-03,2.000000e-04,1.242000e-01,7.720000e-02
0.000000e+00,2.664471e-03,5.000000e-04,1.561000e-01,9.900000e-02
0.000000e+00,3.521421e-03,1.500000e-03,2.105000e-01,1.309000e-01
0.000000e+00,4.653982e-03,1.300000e-03,2.818000e-01,1.686000e-01
0.000000e+00,6.150800e-03,2.900000e-03,3.694000e-01,2.159000e-01
0.000000e+00,8.129024e-03,4.400000e-03,4.870000e-01,2.768000e-01
0.000000e+00,1.074349e-02,8.700000e-03,6.353000e-01,3.495000e-01
0.000000e+00,1.419882e-02,1.500000e-02,8.208000e-01,4.227000e-01
0.000000e+00,1.876545e-02,2.200000e-02,1.061200e+00,5.168000e-01
0.000000e+00,2.480081e-02,4.120000e-02,1.376700e+00,6.168000e-01
0.000000e+00,3.277726e-02,7.100000e-02,1.828600e+00,7.289000e-01
0.000000e+00,4.331910e-02,1.044000e-01,2.340000e+00,8.179000e-01
0.000000e+00,5.725143e-02,1.668000e-01,2.978500e+00,8.967000e-01
0.000000e+00,7.566467e-02,2.410000e-01,3.797900e+00,9.542000e-01
0.000000e+00,1.000000e-01,3.369000e-01,4.688900e+00,9.847000e-01
