p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-04,1.000000e-04,0.000000e+00,3.000000e-03,1.700000e-03
2.576301e-04,2.576301e-04,0.000000e+00,1.100000e-02,6.500000e-03
6.637329e-04,6.637329e-04,0.000000e+00,2.550000e-02,1.530000e-02
1.709976e-03,1.709976e-03,0.000000e+00,7.220000e-02,4.110000e-02
4.405413e-03,4.405413e-03,6.000000e-04,1.733000e-01,1.011000e-01
1.134967e-02,1.134967e-02,3.000000e-03,4.545000e-01,2.442000e-01
2.924018e-02,2.924018e-02,1.870000e-02,1.111600e+00,5.098000e-01
7.533151e-02,7.533151e-02,1.071000e-01,2.683300e+00,8.425000e-01
1.940767e-01,1.940767e-01,3.634000e-01,5.787400e+00,9.920000e-01
5.000000e-01,5.000000e-01,5.070000e-01,9.393700e+00,1.000000e+00
