p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-04,1.000000e-04,0.000000e+00,7.220000e-02,3.180000e-02
2.576301e-04,2.576301e-04,0.000000e+00,1.937000e-01,8.160000e-02
6.637329e-04,6.637329e-04,0.000000e+00,5.018000e-01,2.001000e-01
1.709976e-03,1.709976e-03,0.000000e+00,1.241300e+00,4.278000e-01
4.405413e-03,4.405413e-03,0.000000e+00,3.178800e+00,7.629000e-01
1.134967e-02,1.134967e-02,1.000000e-04,8.122800e+00,9.732000e-01
2.924018e-02,2.924018e-02,2.700000e-03,2.025150e+01,1.000000e+00
7.533151e-02,7.533151e-02,1.054000e-01,4.771290e+01,1.000000e+00
1.940767e-01,1.940767e-01,4.980000e-01,9.917510e+01,1.000000e+00
5.000000e-01,5.000000e-01,4.965000e-01,1.503600e+02,1.000000e+00
