p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,1.220700e+00,4.765000e-01
6.608104e-04,0.000000e+00,0.000000e+00,1.607000e+00,5.741000e-01
8.733407e-04,0.000000e+00,0.000000e+00,2.142200e+00,6.832000e-01
1.154225e-03,0.000000e+00,0.000000e+00,2.826000e+00,7.824000e-01
1.525448e-03,0.000000e+00,0.000000e+00,3.746900e+00,8.696000e-01
2.016064e-03,0.000000e+00,0.000000e+00,4.919000e+00,9.308000e-01
2.664471e-03,0.000000e+00,0.000000e+00,6.482900e+00,9.702000e-01
3.521421e-03,0.000000e+00,0.000000e+00,8.541300e+00,9.922000e-01
4.653982e-03,0.000000e+00,0.000000e+00,1.128220e+01,9.981000e-01
6.150800e-03,0.000000e+00,0.000000e+00,1.480090e+01,9.996000e-01
8.129024e-03,0.000000e+00,0.000000e+00,1.950920e+01,1.000000e+00
1.074349e-02,0.000000e+00,1.000000e-04,2.559450e+01,1.000000e+00
1.419882e-02,0.000000e+00,1.000000e-04,3.336250e+01,1.000000e+00
1.876545e-02,0.000000e+00,3.000000e-04,4.351480e+01,1.000000e+00
2.480081e-02,0.000000e+00,1.800000e-03,5.653110e+01,1.000000e+00
3.277726e-02,0.000000e+00,6.900000e-03,7.328160e+01,1.000000e+00
4.331910e-02,0.000000e+00,2.960000e-02,9.389350e+01,1.000000e+00
5.725143e-02,0.000000e+00,1.112000e-01,1.188834e+02,1.000000e+00
7.566467e-02,0.000000e+00,3.030000e-01,1.495129e+02,1.000000e+00
1.000000e-01,0.000000e+00,4.636000e-01,1.837748e+02,1.000000e+00
