p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,1.000000e-04,0.000000e+00,7.010000e-02,3.080000e-02
0.000000e+00,2.576301e-04,0.000000e+00,1.987000e-01,8.350000e-02
0.000000e+00,6.637329e-04,0.000000e+00,5.049000e-01,2.000000e-01
0.000000e+00,1.709976e-03,0.000000e+00,1.229500e+00,4.215000e-01
0.000000e+00,4.405413e-03,0.000000e+00,3.197800e+00,7.600000e-01
0.000000e+00,1.134967e-02,1.000000e-04,8.151300e+00,9.770000e-01
0.000000e+00,2.924018e-02,3.700000e-03,2.024500e+01,1.000000e+00
0.000000e+00,7.533151e-02,1.037000e-01,4.769150e+01,1.000000e+00
0.000000e+00,1.940767e-01,4.908000e-01,9.924940e+01,1.000000e+00
0.000000e+00,5.000000e-01,4.993000e-01,1.502027e+02,1.000000e+00
