p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-07,1.000000e-07,6.666667e-05,5.333333e-04,4.000000e-04
4.060402e-07,4.060402e-07,2.000000e-04,1.933333e-03,1.066667e-03
1.648686e-06,1.648686e-06,6.000000e-04,9.133333e-03,5.200000e-03
6.694330e-06,6.694330e-06,1.800000e-03,3.226667e-02,1.793333e-02
2.718167e-05,2.718167e-05,9.533333e-03,1.386000e-01,7.420000e-02
1.103685e-04,1.103685e-04,3.373333e-02,5.536667e-01,2.678000e-01
4.481405e-04,4.481405e-04,1.216667e-01,2.252600e+00,7.236667e-01
1.819630e-03,1.819630e-03,3.438667e-01,8.844333e+00,9.943333e-01
7.388431e-03,7.388431e-03,4.952667e-01,3.248120e+01,1.000000e+00
3.000000e-02,3.000000e-02,4.988000e-01,9.519520e+01,1.000000e+00
