p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,9.954100e-02,6.066900e-02
7.192249e-04,0.000000e+00,3.000000e-06,1.432440e-01,8.625500e-02
1.034569e-03,0.000000e+00,4.000000e-06,2.053840e-01,1.215190e-01
1.488176e-03,0.000000e+00,1.400000e-05,2.936040e-01,1.691810e-01
2.140666e-03,0.000000e+00,5.600000e-05,4.196100e-01,2.337040e-01
3.079241e-03,0.000000e+00,1.690000e-04,5.974070e-01,3.175360e-01
4.429334e-03,0.000000e+00,5.250000e-04,8.499940e-01,4.228170e-01
6.371375e-03,0.000000e+00,1.453000e-03,1.206444e+00,5.460560e-01
9.164904e-03,0.000000e+00,3.906000e-03,1.689673e+00,6.771500e-01
1.318325e-02,0.000000e+00,1.106400e-02,2.341476e+00,8.006740e-01
1.896345e-02,0.000000e+00,2.907500e-02,3.207744e+00,8.995640e-01
2.727797e-02,0.000000e+00,7.109400e-02,4.297154e+00,9.619540e-01
3.923800e-02,0.000000e+00,1.562460e-01,5.583210e+00,9.897230e-01
5.644189e-02,0.000000e+00,2.887020e-01,6.979276e+00,9.982250e-01
8.118884e-02,0.000000e+00,4.213160e-01,8.301950e+00,9.997990e-01
1.167861e-01,0.000000e+00,4.880690e-01,9.302234e+00,9.999820e-01
1.679909e-01,0.000000e+00,4.993540e-01,9.834141e+00,9.999980e-01
2.416465e-01,0.000000e+00,5.002760e-01,9.987246e+00,9.999990e-01
3.475964e-01,0.000000e+00,4.998080e-01,9.999777e+00,9.999990e-01
5.000000e-01,0.000000e+00,5.002630e-01,9.997497e+00,9.999980e-01
