p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,5.000000e-04,0.000000e+00,2.929170e-01,1.572360e-01
0.000000e+00,7.192249e-04,0.000000e+00,4.208920e-01,2.181700e-01
0.000000e+00,1.034569e-03,0.000000e+00,6.050830e-01,2.981150e-01
0.000000e+00,1.488176e-03,0.000000e+00,8.700740e-01,3.989700e-01
0.000000e+00,2.140666e-03,1.000000e-06,1.248148e+00,5.195150e-01
0.000000e+00,3.079241e-03,3.000000e-06,1.797426e+00,6.522900e-01
0.000000e+00,4.429334e-03,8.000000e-06,2.572322e+00,7.819050e-01
0.000000e+00,6.371375e-03,4.100000e-05,3.681309e+00,8.877240e-01
0.000000e+00,9.164904e-03,2.230000e-04,5.253756e+00,9.571480e-01
0.000000e+00,1.318325e-02,8.590000e-04,7.477086e+00,9.895850e-01
0.000000e+00,1.896345e-02,3.333000e-03,1.058362e+01,9.985070e-01
0.000000e+00,2.727797e-02,1.319300e-02,1.489328e+01,9.999140e-01
0.000000e+00,3.923800e-02,4.732000e-02,2.073914e+01,9.999990e-01
0.000000e+00,5.644189e-02,1.472830e-01,2.845300e+01,1.000000e+00
0.000000e+00,8.118884e-02,3.354970e-01,3.825389e+01,1.000000e+00
0.000000e+00,1.167861e-01,4.787330e-01,4.992185e+01,1.000000e+00
0.000000e+00,1.679909e-01,5.003330e-01,6.250279e+01,1.000000e+00
0.000000e+00,2.416465e-01,5.001600e-01,7.389997e+01,1.000000e+00
0.000000e+00,3.475964e-01,5.000340e-01,8.150083e+01,1.000000e+00
0.000000e+00,5.000000e-01,5.002910e-01,8.400684e+01,1.000000e+00
